建议子类,候选词,独立判断一致度,各判断标签,来源种子,最高相似度,语料频数,PPMI词频,语料例句,是否收入词典,审核后子类,审核人,备注
夸张修辞,跨越式,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,井喷(0.181)、腾飞(0.257),0.256801,285,285,"源行32：产品抗肿瘤药吉西他滨国内第2家仿制，在中低端市场具备价格优势。<?>未来1-3年产品线有望跨越式发展坚持“品种为王”，未来产品线将大大充实：1）头孢米诺：已获得日本明治（原研厂）商标授权，单独定价。2）银杏
源行185：政中心北迁2003年9月在陕西省社会科学界联合会主办的北城发展战略研讨会上，从西安乃至全省跨越式发展的战略高度提出西安行政中心北迁。2003年10月原西安体育中心和草滩西安现代农业综合开发区并入西安经济技术",是,夸张修辞,,3/3一致，语料285次。与现有 火箭式 同类
夸张修辞,飞跃,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,井喷(0.202)、腾飞(0.269),0.269294,76,71,"源行185：，经开集团成为西安城市新中心城市运营商西安城市中心的北移，使得经开区从经济技术开发区的定位飞跃至西安城市的新中心，乃至未来大西安的中心城市，而经开集团也成为新中心的城市运营商，实现质的飞跃。2007年，在
源行185：至西安城市的新中心，乃至未来大西安的中心城市，而经开集团也成为新中心的城市运营商，实现质的飞跃。2007年，在市政府的领导下，经发集团在做好建设经开区，服务经开区的基础上，分别承担了占地4平方公里的未央新",是,夸张修辞,,3/3一致，语料71次
夸张修辞,得天独厚,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,极佳(0.187),0.187048,60,60,"源行349：季度业绩大幅增长，我们预计在行业蜕变式机遇来临公司今年业绩十分乐观。公司看点：一、资源优势得天独厚。作为国内最大稀缺资源垄断股，依托的白云鄂博矿是稀土、铁共生矿，稀土储量占全世界的接近60%的比例，资源优势无
源行349：2011年公司EPS分别为0.66元和1.2元，对应目前股价的市盈率为49倍和27倍。鉴于得天独厚的资源优势、成本优势及良好的行业发展机遇，公司作为稀缺资源垄断股将充分受益于行业景气度回升带来的超额收益。风险",是,夸张修辞,,3/3一致，语料60次
夸张修辞,霸主,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,王者(0.179),0.179107,59,58,"源行796：在引进海外高端品牌方面优势明显，未来有望成为国内化妆品电商平台中国际高端化妆品品牌线上代理霸主。金王定增价10.32元，锁定期三年，不考虑权益收益仅以资金成本10%计算，董事长及战略投资人成本接近14元，
源行1690：年染料产量71.9万吨，占世界总产量的60%以上，出口量占总产量的近40%。我国染料工业的霸主地位与之前的欧美国家很重要的区别是我们的染料生产只集中在中国，而他们是分散在世界各地，市场销售是一个不容忽视的",是,夸张修辞,,3/3一致，语料58次。与现有 王者/独步天下 同类
夸张修辞,跳跃式,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,井喷(0.172),0.171827,15,15,"源行495：领域与经营业态的全面跨越，业务空间将由百亿级的输送带市场进入千亿级的输送系统工程市场，实现跳跃式的扩张。进军养老产业潜力巨大：公司投资设立桐乡和济养老服务投资有限公司，开始涉足养老产业。桐乡和济养老服务中心
源行566：领域与经营业态的全面跨越，业务空间将由百亿级的输送带市场进入千亿级的输送系统工程市场，实现跳跃式的扩张。风险提示：收购北京约基后产业整合进度低于预期，养老院扩张进程低于预期。",是,夸张修辞,,3/3一致，语料15次。与现有 火箭式 同类
夸张修辞,滚雪球,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,裂变(0.188),0.188046,9,9,"源行885：至1580台，大型离心风机的销售收入将在2011年恢复增长。高毛利率的配件和服务业务将呈现滚雪球式的增长企业。一般来说，风机在运行3-5年后，每年的维护费用是风机整体成本的10%-15%。2008年风机收入
源行885：30%左右的增长。公司的风机销售数量越多，风机配件和服务业务的收入就将越大，此项业务将呈现滚雪球式的增长。高压离心鼓风机营收有望连续三年翻番煤气（一氧化碳）回收工艺等行业。公司从2006年就开始研发高压离心",是,夸张修辞,,3/3一致，语料9次
夸张修辞,蜕变,2/3,B=夸张修辞；C=夸张修辞,绝佳(0.180)、腾飞(0.244),0.243676,35,35,"源行349：为最大的稀土行业龙头，充分受益于稀土行业良好的发展环境，一季度业绩大幅增长，我们预计在行业蜕变式机遇来临公司今年业绩十分乐观。公司看点：一、资源优势得天独厚。作为国内最大稀缺资源垄断股，依托的白云鄂博矿是
源行2596：的银银平台经历了1）早期柜面通业务、2）科技输出中小银行以及3）线上化改版钱大掌柜的三阶段蜕变过程。其所勾稽的强大网络，以及对中小银行的IT系统的科技渗入，使得兴业银行已在实质意义上拥有了对接入银银平台的",是,夸张修辞,,2/3一致，语料35次
夸张修辞,集大成者,2/3,A=夸张修辞；B=夸张修辞,传奇(0.160),0.16045,13,13,"源行563：砂、燃料均有低成本保障，加上技术上的积累，将逐步贡献今年业绩增量。具备资源优势、循环产业链集大成者：外界将公司简单界定为联碱企业，且产品分散，我们认为公司具备天然气、磷矿、盐卤、硅石矿等多项资源优势，多个产品
源行4302：力，为客户提供一揽子的解决方案，就有可能转型成为类似于IBM一样的综合服务厂商，成为行业的集大成者。我们坚定看好东华长期发展前景。<?>盈利预测和评级到目前为止，除了增发中止以外，年初我们选择东华作为首选标的",是,夸张修辞,,2/3一致，语料13次
极端积极,高速成长,3/3,A=极端积极；B=极端积极；C=极端积极,爆发(0.256)、腾飞(0.215),0.255749,264,194,"源行81：公司差异化拿地模式和三四线城市区域战略布局，同时股权激励也将加速业绩释放，未来三年依然处于高速成长期，依然是较好的进攻型投资标的。我们预计公司11年、12年和13年EPS分别为0.94、1.34和1.77元，
源行82：超强的优质民营房企之一，长期看好其差异化拿地模式和三四线城市区域战略布局，未来三年依然处于高速成长期，是弱市中销售有望超预期的个股。我们维持前期的盈利预测，预计公司11年、12年和13年EPS分别为0.94、",是,极端积极,,3/3一致，语料194次
极端积极,成倍增长,3/3,A=极端积极；B=极端积极；C=极端积极,暴增(0.136),0.136421,30,30,"源行203：亿元，同比增长26%。受国际化工市场复苏带动，公司能源化工液态食品业务一季度也实现了收入的成倍增长。公司10年1季度干货箱刚开始恢复生产，基数较低也是导致今年同比大增的一个原因。未来看点：一、集装箱业务景气行
源行434：分试点城市有望完成第一轮的充电基础设施建设，工作重点将转移到方案落实上，新能源客车产销量将成倍增长。同时，四季度本就是传统的客车销售旺季，销量约为全年销量的1/3，而且主要增量来自大中型客车，是各客车企业全年",是,极端积极,,3/3一致，语料30次。与现有 翻倍/翻番 同类
