建议维度,候选词,独立判断一致度,各判断标签,来源种子,最高相似度,语料频数,语料例句,是否收入词典,审核后维度,审核人,备注
夸张修辞,历史性,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,前所未有(0.206)、千载难逢(0.172)、史无前例(0.165),0.206306,91,"源行61：，提出新上药10-11年可能是公上证综指/深圳成指<?>新上药——工商综合性医药航母，面临历史性机遇重组后的新上药09收入有望达到300亿元，其中商业规模约230亿元，工业规模约70亿元，是国内唯一的医药工
源行61：商业均位居全国前三的企业。作为综合性医药航母级龙头企业，新上药将面临国内新医改背景下良好的历史性发展机遇——行业集中度将快速提升，工商一体更具优势，也将作为上海市发展生物医药支柱产业的主要平台获得政府大力支",是,夸张修辞,,3/3一致，语料91次
夸张修辞,空前,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,前所未有(0.179)、千载难逢(0.161),0.17886,63,"源行382：平安观点:JMC轻卡持续热销，高速增长势头有望得以延续。本轮排放标准升级执行力度空前严格，大量技术储备薄弱的轻卡企业无法在短时间内生产排放达标的轻卡车型，最终导致国四轻卡产能供应不足。公司轻型柴
源行383：，公司管1、公司事项点评（2014.10.9）王德安轻卡方面，由于本轮排放标准升级执行力度空前严格，而且升级国四排放标准需要对发动机做较大改进，大量技术储备薄弱的轻卡企业无法在短时间内生产排放达标的轻卡车",是,夸张修辞,,3/3一致，语料63次
夸张修辞,独具,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,无可比拟(0.166),0.165716,54,"源行88：优质土地；另一种则是参与土地一级开发，如目前在海南和海门的一级开发项目，这两种模式使得公司独具低成本拿地优势。股本扩张进行时。公司拟以公积金向全体股东每10股转增5股，转增后总股本为11.68亿，反映了公
源行1356：扩张与产品结构调整并行，资源保障有望提升公司目前拥有全球最大产能的车轮轮箍专业生产厂，形成独具特色的“板、型、线、轮”的产品结构。2012年公司计划产材1788万吨，同比增长12.38%，其中母公司产材1",是,夸张修辞,,3/3一致，语料54次
夸张修辞,首屈一指,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,无可比拟(0.186),0.18606,43,"源行1763：后续加快发展公司在北斗产品、高端元器件及视频监控产品拥有较强的技术能力，部分产品性能在国内首屈一指。公司在研发方面一直保持较高的投入。公司视频监控产品技术实力突出，但市场推广一直较为缓慢。13年公司加大视频图
源行2083：将成为未来5-10年独领风骚的弄潮儿。<?>公司在上游核心元件--气体传感器领域，技术国内首屈一指气体传感器是气体检测仪器仪表的核心器件。公司是国内领先、国际知名的气体探测产品专业制造商，自98年起开始气体传",是,夸张修辞,,3/3一致，语料43次
夸张修辞,绝佳,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,前所未有(0.185),0.185104,32,"源行357：设电商平台，积极拥抱互联网。我们认为公司坐拥庞大线下分销资源，是发展O2O互联网商业模式的绝佳条件，并且工业电气领域的细分行业理解能力、技术实力，以及拓展民用市场的既有规模效应，均构成公司可能发展成为中低
源行1813：于候鸟迁徙地带和途经区域，独特的生态养殖环境构成动物疫病的屏障，为生产高品质鸡肉产品提供了绝佳的基础条件；从经济地理位置角度看，公司位于福建、浙江、江西三省交界，处于消费市场规模大的长江三角洲、珠江三角洲",是,夸张修辞,,3/3一致，语料32次
夸张修辞,革命性,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,颠覆性(0.206),0.206007,28,"源行648：跨越式增长、2013年后废旧轮胎翻新和裂解业务的规模化发展均是可以预期的，新业务模式创新和革命性技术的突破，使公司未来具备很高业绩弹性和估值弹性，我们依然维持买入-A投资评级，维持34元的目标价格。短期业绩
源行914：显示技术和TFT-LCD显示技术的优劣势，OLED材料应用于显示领域在性能上未呈现出明显的革命性优势，同时由于制造过程中，要在较大尺寸上保持均一性存在困难，容易造成良品率低从而带来更高的成本，根据报道，LG",是,夸张修辞,,3/3一致，语料28次
夸张修辞,举足轻重,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,无可比拟(0.172),0.172423,20,"源行669：化，而大型机场空管系统主要被Thales等欧美厂商占据。由于空管系统对维护国家领空主权起着举足轻重的作用，国产化替代将成为未来的趋势。公司凭藉其技术实力和经验优势将逐步进入大型空管自动化市场，不断提升市场占有
源行1483：得以有效解决。其次，公司位于佛山乐从，是著名的“中国家具商贸之都”，在中国家具专业领域具有举足轻重的影响力。公司在长年经营过程中，与当地家具行业的供应商和客户均建立了良好的关系，积累了良好的信誉，可最大限度地",是,夸张修辞,,3/3一致，语料20次
夸张修辞,无法比拟,3/3,A=夸张修辞；B=夸张修辞；C=夸张修辞,无可比拟(0.219),0.218515,19,"源行325：的纤维品种涤纶纤维具有优良的物理机械性能，用途极为广泛，特别是涤纶长丝因其具有许多天然纤维无法比拟的优良特性制成的衣料和针织品深受人们喜爱。2009年，中国涤纶长丝产量1415万吨，占全球多年来，由于受到科研
源行708：的因素之一。（1）光热发电解决了储能，可实现24小时发电，具备基础负荷特征，这是别的新能源无法比拟的优势。（2）光热发电验证了电站30年以上的运行寿命，这是其它新能源无法比拟的优势之二，也是现有新能源电站里面",是,夸张修辞,,3/3一致，语料19次
夸张修辞,巨大,2/3,B=夸张修辞；C=夸张修辞,前所未有(0.171),0.170978,3101,"源行79：%)，投资收益同比仅小幅下降4.3%。我们认为公司09年底超过200亿丰厚的浮赢在此贡献了巨大的作用。<?>资产配置比例调整进一步提升资产收益率。10年上半年权益市场和债券市场表现均欠佳，在此前提下公司主
源行89：年形成崇明现代化生态岛建设的初步框架，这对于在崇明有4600多亩土地资源的公司来说无疑构成巨大利好。集团整体上市预期强烈。近期2010年上海国资国企工作会议召开，重组联合、优化布局、证券化成为10年的重点",否,,,2/3一致；语料3099次，加入会使夸张修辞类别从123增至4629（37倍），把该维度从稀缺渲染用语变成常见程度词
夸张修辞,强大,2/3,B=夸张修辞；C=夸张修辞,独一无二(0.152),0.151937,992,"源行85：护航，融资能力依然较强。公司快速扩张带来资金面偏紧，但背靠国资背景较强的鲁商集团，公司仍有强大的融资能力支撑。2011年大股东鲁商集团和关联方的借款额度提高到了50亿，并提供50亿融资担保，截止目前预计仍
源行85：位较好的大体量综合体项目，不仅盈利能力强，且有效分散了当前调控风险；同时公司的快速成长与其强大的融资能力相匹配，我们依然看好公司未来两年业绩的高弹性，维持“买入”评级，目标价9.09至10.10元。风险提",否,,,2/3一致；语料980次，同“巨大”，量级失衡
